product_category_id,product_category,products
3365,Other Candies,"[
  19996629,
  18553504,
  3342130,
  18833772,
  17276731,
  40651,
  2662322,
  20250738,
  19184190,
  20024689,
  2689889,
  40656,
  18301277,
  21042012,
  20679235
]"
999,Canned Peaches,"[
  19852265,
  1913744,
  34650
]"
1423,Fabric Softener,"[
  156172,
  18423101,
  2620965,
  3162941,
  70744,
  21175032,
  20004059,
  16985295,
  70749,
  18603597,
  3322270,
  19535064,
  40105,
  70751,
  3235394,
  2622887,
  21321321,
  3109064,
  2685110
]"
545,Portobello Mushrooms,"[
  21365848
]"
1103,Ravioli Pasta,"[
  209806,
  16267545,
  177139,
  16267668,
  16720924,
  16268105,
  19954824,
  16701584,
  119061
]"
1177,Grain Chips,"[
  2691069,
  19328658,
  18113783,
  42690,
  2689845,
  3211013,
  16696973,
  3123872
]"
642,Frozen Breakfast Pastries,"[
  22116842
]"
3569,French Bread,"[
  18662797
]"
934,Coating Mixes,"[
  226405,
  230271,
  307847,
  19224124,
  37762,
  19942715,
  1442761,
  37764,
  72644,
  19225939,
  34419
]"
661,Popsicles,"[
  95577,
  141340,
  21341753,
  21093661,
  19552478,
  21097487,
  21993557,
  2635124,
  18077769,
  2588479,
  21066764,
  20978342,
  21170289,
  19648341,
  18208905,
  21514435,
  21156519,
  2472421,
  19547016,
  103356,
  218948,
  20978346,
  16927564,
  18077768,
  19556341,
  21187019,
  221952,
  21123016,
  18113094,
  21025557,
  221953,
  20978332,
  21640542,
  21341723,
  19737955,
  16495934,
  2588459,
  21341724,
  21341705,
  1396516,
  2763236,
  21141475,
  19048741
]"
3178,Soy Milk,"[
  2874119,
  43690,
  43689,
  35871,
  80606,
  42983,
  3382037,
  307245,
  42845,
  16696104,
  104746,
  166518,
  42989,
  35870,
  80683,
  16309540,
  193155,
  280996,
  80682,
  540894,
  2377778
]"
1664,Children's Supplements & Vitamins,"[
  360260,
  3212794,
  53010,
  17681999,
  3073097,
  20238285,
  17498779
]"
528,Mixed Lettuce,"[
  16556569,
  21839719,
  412809
]"
1275,Fresh Spreads delete,"[
  203762,
  18019621,
  18026919
]"
3370,Pork Jerky,"[
  16402824
]"
199,Sauvignon Blanc,"[
  872,
  86893,
  3081421,
  17954026,
  17843528,
  16321303,
  21194985,
  2216973,
  103966,
  213495,
  17255739,
  117719,
  879,
  251549,
  17315134
]"
3170,Chocolate Milk,"[
  19499814,
  16408572,
  17378297,
  21116411,
  19743722,
  19762958
]"
1354,Whipped Cream,"[
  19962055,
  20993440,
  3064370,
  16969248,
  39277
]"
1735,Baby Wipes,"[
  68727,
  295193,
  21197217,
  19170035,
  19618178,
  20803445,
  2617657
]"
3199,Emmentaler,"[
  194509
]"
275,Pressed Juices,"[
  27558,
  20642345,
  20226348,
  3205372,
  1114030,
  581865,
  2911756,
  3325289,
  19687793,
  1113844,
  378523,
  581872,
  20146596,
  3039260,
  1114031,
  18614908,
  3205366,
  19320976,
  21131164,
  1114033,
  20985054,
  22310586,
  19320866,
  3301244,
  581869,
  370951,
  22310307,
  18541693
]"
3125,Lima Beans,"[
  282929,
  18519999
]"
3165,Plain Cream Cheese,"[
  122577,
  225575,
  122601,
  18283981,
  20994708
]"
1237,Hemp Seeds,"[
  21729641,
  21729769
]"
3007,Rye Whiskey,"[
  19877228
]"
1325,Taco Shells,"[
  19755966,
  19048693
]"
1223,Mixed Nuts,"[
  3251619,
  250766,
  16969667,
  19695886,
  18301998,
  3276510,
  19461637,
  18302003,
  18301989,
  19723027,
  18836398
]"
1586,Body Wash,"[
  21148030,
  16780149,
  16658478,
  16759471,
  20473285,
  18105008,
  19326907,
  189703,
  41481,
  18420632,
  3109918,
  20129540,
  90614,
  18354399,
  2898823,
  18072294,
  21022512,
  20550898,
  2783821,
  19060985,
  2788740,
  16471417,
  51405,
  18075553,
  2610939,
  21022598,
  194278,
  16686633,
  41164,
  19698195,
  2689332,
  2689709,
  51406,
  2689828,
  489424,
  18130036,
  19588874,
  41576,
  19076643,
  21020243,
  2687977,
  1358064,
  13459,
  1359254,
  17006710,
  19032457,
  41271,
  41148,
  19064041,
  2899857,
  18076143,
  16823761,
  2700595,
  2689962,
  19043492,
  18105011,
  2761737,
  19228196,
  17014802,
  271285,
  2898840,
  535383,
  151422,
  19061048,
  2789672,
  19582129,
  41110,
  41325,
  2497142,
  18104995,
  35793,
  18075554
]"
1149,Pizza Sauce,"[
  24844,
  19869353,
  39337,
  19869352
]"
273,Juice Blends,"[
  21064207,
  17019107,
  194332,
  3384137,
  19776974,
  18685431,
  17897425,
  3240506,
  16902825,
  3308300,
  21687034,
  19219389,
  16971369,
  3320804,
  183748,
  27135,
  19498847,
  38551,
  3141367,
  69587,
  18685378,
  16460630,
  18685582,
  3357929,
  20986000,
  27562,
  17763400,
  2677959,
  2967167,
  55052,
  19139359,
  17445650,
  17530611,
  203916,
  2511018,
  27136,
  16651590,
  18623907,
  21064198,
  21644028
]"
840,Vegetarian Chicken Substitutes,"[
  20141588
]"
1720,Protein Drinks,"[
  20242697,
  20130823,
  20121770,
  256068,
  19909859,
  19853784,
  21192470,
  3340375,
  18073091,
  19277405,
  20114131,
  22002422,
  256067,
  53849,
  22046746,
  17507217,
  17652920,
  22046703,
  19951521,
  16997919,
  18311889,
  22706241,
  22706234,
  21514467,
  112120,
  16592399,
  19307886,
  112116,
  18073092,
  37877,
  37808,
  19532455,
  16472961,
  3225984,
  19628662,
  3202677,
  21821714,
  90991,
  21514318,
  3338934,
  112112,
  18311861,
  48847
]"
3320,Other Sauces,"[
  21001514,
  18718416,
  17379372,
  78519,
  19871503,
  18266201,
  19240695,
  21130897,
  18720475,
  216627,
  216698,
  19796111,
  199997,
  17276694,
  34609,
  39390,
  37039
]"
1625,Corn & Callus Care Supplies,"[
  16470485
]"
2829,Crushed Ice,"[
  19060114
]"
1746,Pediatric Electrolyte Solution,"[
  21481932,
  3318412,
  18852740,
  19611878,
  3318435
]"
1161,Hard Candies,"[
  40654,
  2582657,
  16958017,
  40658,
  1975375,
  78660,
  21001517,
  1378336,
  191575,
  71737,
  2159939,
  287556,
  40661,
  20992862,
  389074,
  2756973,
  78626,
  2719979,
  2200018,
  88490,
  20111253,
  20679308,
  16488003,
  20250744,
  212323,
  20679312,
  191586,
  2577838,
  1862078,
  20679243,
  287555,
  40663,
  3179545,
  21118489
]"
1287,Deli Chicken,"[
  18291851,
  28618,
  72298,
  16751948,
  18151100
]"
2876,Whole Body Cleanse,"[
  263409,
  323291,
  128307,
  50458,
  55051,
  50450
]"
68,Flavored Rum,"[
  3102149,
  3052389
]"
3578,Specialty Breads,"[
  53293,
  125590,
  53295,
  53294,
  53296,
  3120100,
  146312,
  340517
]"
2377,Thai Sweet Basil,"[
  18302520,
  20575413
]"
1632,Electric Toothbrushes,"[
  17775649
]"
1742,Baby Cereals,"[
  38435,
  3318442,
  16409604,
  38543
]"
1530,Manicure & Pedicure Sets,"[
  370013
]"
1366,Candles,"[
  16879660,
  17323960,
  17507085,
  16413154,
  2684946,
  16760403,
  17978064,
  3116482,
  217700,
  214468,
  2684131,
  16408463,
  77748,
  146412,
  17507204,
  264941,
  2684945,
  2684943,
  3093177,
  278156,
  19154434,
  20476541
]"
502,Sage,"[
  18317377
]"
1344,Half & Half,"[
  29040,
  19517694,
  150113,
  203638,
  203637,
  29057,
  3054287
]"
1378,Kitchen Cleaners,"[
  19711408,
  17671110,
  2783142,
  94762
]"
1715,Fiber,"[
  136688,
  50385,
  50380
]"
3176,Almond Milk,"[
  80684,
  16755240,
  32544,
  2718563,
  3356552,
  17484720,
  16784208,
  29132,
  16765439,
  125712,
  21426982,
  16884939,
  77568,
  3244915,
  77651,
  150097,
  2248531,
  72018,
  1562472,
  16915161,
  80597,
  16512503,
  77569,
  192190,
  29133,
  25910,
  16847450,
  18118199,
  307244,
  17284282,
  3356551,
  72020,
  16402450,
  121626,
  17294492,
  193162
]"
